id,route_name,route_link,busname,bustype,departing_time,duration,reaching_time,star_rating,price,seats_available
1,"Bareilly to Delhi",https://www.redbus.in/bus-tickets/bareilly-to-delhi,"UPSRTC - PLB0002","Shatabdi AC Seater 2+2","2024-07-28 00:25:00","05h 35m","2024-07-28 06:00:00",3.1,598.00,16
2,"Bareilly to Delhi",https://www.redbus.in/bus-tickets/bareilly-to-delhi,"UPSRTC - STD0080","Ordinary Non AC Seater 2+3","2024-07-28 00:35:00","07h 25m","2024-07-28 08:00:00",3.3,450.00,52
3,"Bareilly to Delhi",https://www.redbus.in/bus-tickets/bareilly-to-delhi,"UPSRTC - STD0072","Janrath AC Seater 2+2","2024-07-28 00:40:00","05h 05m","2024-07-28 05:45:00",3.3,598.00,21
4,"Bareilly to Delhi",https://www.redbus.in/bus-tickets/bareilly-to-delhi,"UPSRTC - LKM0401","Shatabdi AC Seater 2+2","2024-07-28 00:45:00","05h 29m","2024-07-28 06:14:00",0,604.00,31
5,"Bareilly to Delhi",https://www.redbus.in/bus-tickets/bareilly-to-delhi,"UPSRTC - BLY0150","Janrath AC Seater 2+2","2024-07-28 07:05:00","04h 40m","2024-07-28 11:45:00",3.3,598.00,32
6,"Bareilly to Delhi",https://www.redbus.in/bus-tickets/bareilly-to-delhi,"UPSRTC - BLY0145","Rajdhani Non AC Seater 2+3","2024-07-28 07:30:00","05h 00m","2024-07-28 12:30:00",3.3,448.00,52
7,"Bareilly to Delhi",https://www.redbus.in/bus-tickets/bareilly-to-delhi,"UPSRTC - RKD0052","Ordinary Non AC Seater 2+3","2024-07-28 08:00:00","05h 30m","2024-07-28 13:30:00",3.3,448.00,52
8,"Bareilly to Delhi",https://www.redbus.in/bus-tickets/bareilly-to-delhi,"UPSRTC - RKD0133","Janrath AC Seater 2+2","2024-07-28 08:15:00","05h 30m","2024-07-28 13:45:00",3.4,598.00,36
9,"Bareilly to Delhi",https://www.redbus.in/bus-tickets/bareilly-to-delhi,"UPSRTC - PLB0055","Rajdhani Non AC Seater 2+3","2024-07-28 08:30:00","05h 59m","2024-07-28 14:29:00",3.3,454.00,51
10,"Bareilly to Delhi",https://www.redbus.in/bus-tickets/bareilly-to-delhi,"UPSRTC - BLY0108","Janrath AC Seater 2+2","2024-07-28 09:02:00","04h 43m","2024-07-28 13:45:00",3.3,598.00,36
11,"Bareilly to Delhi",https://www.redbus.in/bus-tickets/bareilly-to-delhi,"UPSRTC - RKD0053","Ordinary Non AC Seater 2+3","2024-07-28 10:00:00","05h 30m","2024-07-28 15:30:00",3.3,448.00,52
12,"Bareilly to Delhi",https://www.redbus.in/bus-tickets/bareilly-to-delhi,"UPSRTC - RKD0110","Shatabdi AC Seater 2+2","2024-07-28 10:01:00","05h 00m","2024-07-28 15:01:00",3.9,598.00,36
13,"Bareilly to Delhi",https://www.redbus.in/bus-tickets/bareilly-to-delhi,"UPSRTC - RKD0112","Janrath AC Seater 2+2","2024-07-28 10:31:00","05h 30m","2024-07-28 16:01:00",4.4,598.00,35
